nome,user_id,ativo,filial_codigo
,user_2wn0qazcJTDdztP7dpKIBAHfu5S,S,CAC
,user_326Eos6mzBqF56JFCKnKtIL5mJY,S,CAC
,user_2xghH5gUh6NHbIIgyBf0Q8YwEhr,S,SCS
,user_30bQ7JYLECorOSzVXcmVadgobcy,S,SCS
,user_30mVt9spvSbJ0IvgrhDGTxnbEG2,N,
,user_3CLVr1jsKOWGyiK22qVX6WSkKz9,S,SCS
,user_30bk31zUFkB4rfGQS0ozi4836iw,S,SCS-CL
,user_356QcgXJTNohT4AaJW1uZjFVFru,N,
,user_35hJOdkrdCJdhQBkNIaeqKup3zT,S,SCS
,user_2yQ438kfQyOiJDRG0gJ2ic7OpB4,S,SCS-CL
,user_30eBStbGWgdffkPay6r7WMyKJzf,S,SCS
,user_2whTcWoKTWOJ1VXLV7TaqdtNUXb,S,SCS
,user_2yKQwap6JLDV2hGPeQnR0ETmr3u,N,
,user_2uAXDxjKVfhZW2BayWLHSabwz47,S,SCS-CL
,user_30bPfgmTUx2pC3g87lTzCQKdDLp,S,SCS-CL
,user_30wIOABmaCb1Gz9VUhSQgaAJlE0,N,
,user_30nzhPYVWKv8AfuGru9B7rlCRnQ,S,SCS
,user_30bCpkBR3vaKtMvqKG9bon69IoP,S,VA
,user_34n07KA2J9kbIGIdNKDZz1vVy96,N,
,user_30dc4uyeAQZr30JvEeXZmzYzqy1,N,
,user_35Hmhp5t5kX4J1hByyYBn5aMRQL,S,SCS
,user_37qn6tN2s9sbECec2B8YWVR2u9D,N,
,user_37qj7fTcjnzmNBxKGMuXrnJSF05,N,
,user_37veQ0KZEUBAn44KIKSqE5TLhDY,S,SCS-CL
,user_30dgtjf4WGV3zHPe76ydESyU6wA,S,SCS-CL
,user_35wnMDguaTvou0XekSZEgAe8bXW,S,SCS-CL
,user_37rEwUiyN3gicIMBMyVBulRc8PR,N,
,user_37qlOKsvNnAyk1r9SX8TwcRjb0q,S,CAC
,user_37vMsTaWqhV8YzMANdy8LHIA3xy,S,SCS
,user_37tN4DC6uk6tTBmOmSgE7sd1pmU,N,
,user_37qkcKz7O19amLXuwHng9hggzZg,S,CAC
,user_31SgTFQKvXffVIWiTfuWlAdhPbZ,S,SCS
,user_37tiwAsh1Ex1BL8n6N4fwKxU00T,N,
,user_37vekqreNHsWMC4IolcjEkbA9zN,S,SCS
,user_389l2vAhZ8TWTBWw6EbGIFWKdQD,S,SCS
,user_38GCAMAspMlU1W4QrsOUgMAbjh8,N,
,user_38TMopc2bKYMeNIzJOhHNxRSC8C,S,CAC
,user_38IFbDK1BUxwfmK5DrY6laEzFGf,S,SCS
,user_389l2oTkhScFrXZFPeMpJ5gfd7F,N,
,user_389l62KSdbFMc7GQzKKzpGDIGb1,S,SCS
,user_38IFoCIzvGtGjA5pBJY2XgMd5KI,S,SCS
,user_38IFxQHUNrlOTF44tSFs0Sz05aS,N,
,user_37veeO2d04QVXn1NGRrumFyUlZ8,S,SCS
,user_38c3HyVDcxWxQBIN4IcOea4v03u,S,SCS
,user_38Z9xZPDuns1ubR0PIm4Os1i1aD,N,
,user_38XClUW9fjjRqCBEGu5D5rcaBDK,S,CAC
,user_38ZAIfdspmCRCyS0CvyKulDsLdJ,S,SCS
,user_38ZAOFSPbSjj65hMTuKbr7f5yT4,S,SCS
,user_38WKmDQaC4glv1OaeZHrsRLpCqx,S,SCS
,user_38CZ0kfvK8uoxcfW8Aqk8lAsRy0,S,CAC
,user_38V2DHBVyNnYAQ1nFImsXGpcSU2,N,
,user_38TxTKdY3DsAq4NkuUlhlh2ZJHU,S,SCS
